event_id,blob_id,time_idx,date,type,n_cells,area_km2,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon,mean_anomaly_mm,max_magnitude_mm,total_anomaly_mm
EVT-2020-023,B00004,0,2020-06-30,wet,13,8787.962228356044,29.12428270603187,84.58566240816118,28.75,29.75,84.0,85.25,33.56251525878906,64.62905883789062,436.31268310546875
EVT-2020-024,B00002,0,2020-06-30,wet,13,8377.23937373126,33.675927814130944,69.6433815832532,33.0,34.25,69.25,70.0,48.67226791381836,92.93302917480469,632.739501953125
EVT-2020-025,B00019,0,2020-06-30,dry,13,8053.321427242629,36.88289357817886,94.00669511466427,36.75,37.0,93.25,94.75,-7.517533302307129,-9.427389144897461,-97.72793579101562
EVT-2020-026,B00008,0,2020-06-30,wet,10,7078.172564790699,23.97998479108793,96.27468408767575,23.5,24.25,96.0,96.5,55.4612922668457,74.1761474609375,554.6129150390625
EVT-2020-027,B00021,0,2020-06-30,dry,11,6937.857284831599,35.46510931342456,92.8520791199554,35.25,35.75,92.25,93.5,-21.64469337463379,-26.513099670410156,-238.0916290283203
EVT-2020-028,B00023,0,2020-06-30,dry,10,6396.262684180538,34.332932031831604,85.27737095929211,34.0,34.75,84.5,85.75,-14.528051376342773,-19.465129852294922,-145.280517578125
EVT-2020-022,B00030,1,2020-07-31,wet,2016,1356967.649844084,27.735134026417573,90.96575954493817,23.0,37.0,80.0,98.0,131.53887939453125,786.2054443359375,265182.375
EVT-2020-029,B00038,1,2020-07-31,dry,1828,1256418.5408790102,25.458065527625173,76.69976627924402,16.75,35.75,69.0,81.75,-104.76747131347656,-382.5200500488281,-191514.9375
EVT-2020-004,B00033,1,2020-07-31,wet,946,714550.805864316,12.799360411296393,71.0076899882397,7.25,19.0,68.0,75.5,166.92556762695312,351.84539794921875,157911.59375
EVT-2020-016,B00035,1,2020-07-31,wet,561,427782.16490140394,9.688381522119446,83.69852269616395,6.0,15.0,79.0,88.0,62.9470329284668,141.1474609375,35313.28515625
EVT-2020-030,B00051,1,2020-07-31,dry,421,317840.42897365027,13.086258559239273,96.7069017895899,8.25,19.25,94.0,98.0,-150.15159606933594,-398.77166748046875,-63213.82421875
EVT-2020-031,B00059,1,2020-07-31,dry,92,70684.19130546082,7.284102401836373,92.49408932644107,6.0,9.0,90.75,94.25,-64.8556900024414,-84.27381896972656,-5966.7236328125
EVT-2020-032,B00032,1,2020-07-31,wet,74,53272.97094078166,21.675511367243466,70.01356066535553,20.5,23.5,68.75,72.0,278.8999938964844,590.8446044921875,20638.599609375
EVT-2020-033,B00056,1,2020-07-31,dry,38,28625.298876762325,13.462043190823511,75.36257779840939,12.5,14.5,74.5,76.5,-123.84510040283203,-227.093017578125,-4706.11376953125
EVT-2020-034,B00058,1,2020-07-31,dry,37,28207.310070239273,10.131216751785974,92.54705260382316,9.5,10.75,91.5,93.5,-78.3916244506836,-94.6297607421875,-2900.490234375
EVT-2020-035,B00037,1,2020-07-31,wet,36,27710.66105503941,6.334413744335876,78.4167332870175,6.0,7.0,77.25,79.5,40.03498077392578,62.70582580566406,1441.25927734375
